,osmid,highway,geometry,lon,lat
123,789299584,,POINT (73.3471218 54.9383255),73.3471218,54.9383255
124,410616194,,POINT (73.41514119999999 54.951282),73.4151412,54.951282
125,789299588,,POINT (73.3489022 54.9399549),73.3489022,54.9399549
126,789299597,,POINT (73.34068739999999 54.9373709),73.3406874,54.9373709
127,1877262733,,POINT (73.42577559999999 54.9918334),73.4257756,54.9918334
128,1072562577,,POINT (73.6098102 54.8830114),73.6098102,54.8830114
129,1457488274,,POINT (73.2688078 54.9625203),73.2688078,54.9625203
130,789299601,,POINT (73.3460157 54.9388536),73.3460157,54.9388536
131,1877262737,,POINT (73.4257233 54.9923112),73.4257233,54.9923112
132,789299604,,POINT (73.3504676 54.9412289),73.3504676,54.9412289
133,2134524314,,POINT (73.41286340000001 55.0074449),73.4128634,55.0074449
134,2134524315,,POINT (73.4140829 55.0075066),73.4140829,55.0075066
135,2286420381,,POINT (73.3330622 54.9463326),73.3330622,54.9463326
136,2052669853,,POINT (73.30929519999999 55.0229892),73.3092952,55.0229892
137,410976671,,POINT (73.39804959999999 54.9445806),73.3980496,54.9445806
138,2286420384,,POINT (73.3322848 54.946731),73.3322848,54.946731
139,1259864486,,POINT (73.3710861 55.0033582),73.3710861,55.0033582
140,789299624,,POINT (73.3481094 54.9450317),73.3481094,54.9450317
141,789299627,,POINT (73.34504080000001 54.9420237),73.3450408,54.9420237
142,585138605,,POINT (73.2990145 54.9846793),73.2990145,54.9846793
143,585138606,,POINT (73.3062323 54.9811151),73.3062323,54.9811151
144,1259864495,,POINT (73.3768147 55.0204045),73.3768147,55.0204045
145,2699329968,,POINT (73.4069089 54.9651588),73.4069089,54.9651588
146,846217645,,POINT (73.4597515 54.8518662),73.4597515,54.8518662
147,410386866,,POINT (73.4976332 54.9206368),73.4976332,54.9206368
148,410386867,,POINT (73.49715329999999 54.9221759),73.4971533,54.9221759
149,410386868,,POINT (73.49671170000001 54.923649),73.4967117,54.923649
150,2442379694,,POINT (73.24692810000001 54.9997727),73.2469281,54.9997727
151,2272264630,,POINT (73.4461531 55.0362568),73.4461531,55.0362568
152,410386870,,POINT (73.4959892 54.9261486),73.4959892,54.9261486
153,1259864505,,POINT (73.3739944 55.0098378),73.3739944,55.0098378
154,789299642,,POINT (73.3460073 54.9399895),73.3460073,54.9399895
155,2924446142,,POINT (73.4169153 54.9188134),73.4169153,54.9188134
156,1259864511,,POINT (73.3598779 55.0168802),73.3598779,55.0168802
157,2924446144,,POINT (73.4163157 54.9188151),73.4163157,54.9188151
158,789299646,,POINT (73.3412731 54.9396897),73.3412731,54.9396897
159,5245354432,,POINT (73.2279058 54.989977),73.2279058,54.989977
160,410386883,,POINT (73.4984992 54.9207161),73.4984992,54.9207161
161,410386884,,POINT (73.4980783 54.9222367),73.4980783,54.9222367
162,410386885,,POINT (73.49761669999999 54.9237286),73.4976167,54.9237286
163,5245354433,,POINT (73.22814409999999 54.9899024),73.2281441,54.9899024
164,410386887,,POINT (73.4969002 54.9262232),73.4969002,54.9262232
165,789299653,,POINT (73.34208340000001 54.9392232),73.3420834,54.9392232
166,3793732038,,POINT (73.2565535 54.9783052),73.2565535,54.9783052
167,929841613,,POINT (73.4519815 54.9094069),73.4519815,54.9094069
168,1259864527,traffic_signals,POINT (73.3754861 55.0185016),73.3754861,55.0185016
169,1259864530,,POINT (73.37366950000001 55.0040967),73.3736695,55.0040967
170,410386902,,POINT (73.4994018 54.9208067),73.4994018,54.9208067
171,1259864535,,POINT (73.3812685 55.0136997),73.3812685,55.0136997
172,410386904,,POINT (73.49849330000001 54.9238217),73.4984933,54.9238217
173,410386903,,POINT (73.4989163 54.9223197),73.4989163,54.9223197
174,410386906,,POINT (73.4977749 54.9262842),73.4977749,54.9262842
175,410583515,traffic_signals,POINT (73.426531 54.9409384),73.426531,54.9409384
176,410583516,traffic_signals,POINT (73.4218039 54.9391518),73.4218039,54.9391518
177,1259864541,,POINT (73.3526406 55.0121136),73.3526406,55.0121136
178,410583517,,POINT (73.4193393 54.9383098),73.4193393,54.9383098
179,789299678,,POINT (73.347301 54.9455088),73.347301,54.9455088
180,1103200740,,POINT (73.46896630000001 54.9164415),73.4689663,54.9164415
181,410173926,traffic_signals,POINT (73.2892264 55.0067213),73.2892264,55.0067213
182,1259864554,,POINT (73.3561416 55.0244285),73.3561416,55.0244285
183,1259864558,,POINT (73.3686891 55.0122218),73.3686891,55.0122218
184,789299696,,POINT (73.3444381 54.9372651),73.3444381,54.9372651
185,846217713,,POINT (73.4549253 54.8511841),73.4549253,54.8511841
186,2473034229,,POINT (73.2648536 54.9727983),73.2648536,54.9727983
187,929841653,,POINT (73.42229949999999 54.9448524),73.4222995,54.9448524
188,1056702967,,POINT (73.3525827 55.0248741),73.3525827,55.0248741
189,1259864568,,POINT (73.3756108 55.0194483),73.3756108,55.0194483
190,2473034233,,POINT (73.2670308 54.973478),73.2670308,54.973478
191,3463594488,,POINT (73.2172806 54.9804852),73.2172806,54.9804852
192,807633404,,POINT (73.31470969999999 54.9030196),73.3147097,54.9030196
193,1259864573,,POINT (73.3603767 55.020554),73.3603767,55.020554
194,410911229,,POINT (73.4187266 54.9287762),73.4187266,54.9287762
195,410911231,,POINT (73.41876019999999 54.9308774),73.4187602,54.9308774
196,929841663,,POINT (73.41778720000001 55.0256132),73.4177872,55.0256132
197,410173953,,POINT (73.2806076 55.0005506),73.2806076,55.0005506
198,789299714,,POINT (73.34623259999999 54.9377854),73.3462326,54.9377854
199,789299716,,POINT (73.34230890000001 54.9415982),73.3423089,54.9415982
200,789299719,,POINT (73.3435921 54.9400883),73.3435921,54.9400883
201,1259864586,,POINT (73.357991 55.0082834),73.357991,55.0082834
202,789299724,,POINT (73.3425288 54.9373258),73.3425288,54.9373258
203,789299725,,POINT (73.350666 54.9435121),73.350666,54.9435121
204,3755344400,,POINT (73.4187172 54.9372086),73.4187172,54.9372086
205,1103200784,,POINT (73.4873441 54.9125064),73.4873441,54.9125064
206,1235714579,,POINT (73.4053588 54.9278311),73.4053588,54.9278311
207,929841685,,POINT (73.4162589 54.9489936),73.4162589,54.9489936
208,1072562716,,POINT (73.4597995 54.8534692),73.4597995,54.8534692
209,1936245283,,POINT (73.24710779999999 55.1029746),73.2471078,55.1029746
210,1102955043,,POINT (73.47808019999999 55.0360611),73.4780802,55.0360611
211,929841703,,POINT (73.4559024 54.917724),73.4559024,54.917724
212,846217769,,POINT (73.46622840000001 54.8498938),73.4662284,54.8498938
213,929841707,,POINT (73.26051820000001 55.0441421),73.2605182,55.0441421
214,1259864627,,POINT (73.3580458 55.0091203),73.3580458,55.0091203
215,929841717,,POINT (73.45257669999999 54.9178532),73.4525767,54.9178532
216,410386998,,POINT (73.49779460000001 54.9296165),73.4977946,54.9296165
217,929841724,,POINT (73.4213361 54.9444822),73.4213361,54.9444822
218,410174023,traffic_signals,POINT (73.29759490000001 55.0124277),73.2975949,55.0124277
219,1259864648,,POINT (73.3523675 55.0130538),73.3523675,55.0130538
220,1259864650,,POINT (73.3602052 55.0004204),73.3602052,55.0004204
221,789299796,,POINT (73.3386963 54.937977),73.3386963,54.937977
222,1259864667,,POINT (73.3776349 55.0158615),73.3776349,55.0158615
223,2034238044,,POINT (73.3045307 54.9159139),73.3045307,54.9159139
224,1259864669,,POINT (73.36860489999999 55.0057031),73.3686049,55.0057031
225,789299807,,POINT (73.3416435 54.941906),73.3416435,54.941906
226,1142063716,,POINT (73.1274808 54.9580878),73.1274808,54.9580878
227,929841768,,POINT (73.2630229 55.046298),73.2630229,55.046298
228,789299817,,POINT (73.3519053 54.9427951),73.3519053,54.9427951
229,4362535530,,POINT (73.3853482 54.9446431),73.3853482,54.9446431
230,4362535531,,POINT (73.3851674 54.9446711),73.3851674,54.9446711
231,789299820,,POINT (73.3401944 54.9402516),73.3401944,54.9402516
232,768377455,,POINT (73.31098009999999 54.9927209),73.3109801,54.9927209
233,1259864689,,POINT (73.3604905 55.024534),73.3604905,55.024534
234,1952301682,traffic_signals,POINT (73.2611507 55.0425619),73.2611507,55.0425619
235,1952301684,traffic_signals,POINT (73.2675629 55.0345367),73.2675629,55.0345367
236,1952301685,traffic_signals,POINT (73.2692287 55.0321994),73.2692287,55.0321994
237,1952301686,,POINT (73.2658095 55.0367167),73.2658095,55.0367167
