,nodes,building,geometry,addr:housenumber,addr:street,building:levels,id,start_date,addr:postcode,building:material,source,addr:city,name,addr:place,roof:shape,roof:material,building:colour,height,roof:height,wheelchair,level,roof:colour,building:facade:material,loc_name,addr:suburb,building:year_built,postal_code,addr:flats,building:parts,construction,members,type,amenity,ref,opening_hours,capacity:bed,emergency,health_specialty:emergency_medicine,provided_for:adult,healthcare,healthcare:speciality,lon,lat
6336,"[3808223377, 6547534714, 3808223373, 3808223370, 6269154193, 3808223368, 6269154194, 3808223364, 6269154195, 6269154196, 3808223363, 3808223367, 3808223372, 3808223377]",apartments,POINT (73.34257337651518 55.00299518689348),105 к3,улица Красный Путь,15,377451728,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34257337651518,55.00299518689348
6337,"[3808223398, 3808223396, 6269151478, 6269151479, 3808223395, 6269151481, 3808223388, 6269151484, 6269154185, 3808223386, 3808223394, 3808223397, 3808223399, 6547534787, 6547534786, 3808223398]",apartments,POINT (73.34532417808525 55.0041510495095),105 к1,улица Красный Путь,15,377451729,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34532417808525,55.0041510495095
6338,"[3808222448, 3808222445, 3808222446, 3808222450, 3808222449, 3808222443, 5094207353, 5094207352, 3808222441, 5094207351, 3808222447, 5094207350, 3808222448]",apartments,POINT (73.34611884465059 55.00169910362941),101 к2,улица Красный Путь,15,377451731,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34611884465059,55.00169910362941
6339,"[3808223390, 3808223387, 6269151480, 3808223384, 6269151482, 3808223371, 6269151483, 6269154186, 3808223369, 3808223383, 3808223389, 3808223392, 6547534737, 3808223390]",apartments,POINT (73.34389270833576 55.00355351659799),105 к2,улица Красный Путь,15,377451732,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34389270833576,55.00355351659799
6340,"[3808223360, 6547515078, 6547515077, 3808223357, 6547515076, 3808223358, 6547515074, 6547515075, 3808223362, 3808223361, 3808222454, 3808222452, 3808223359, 5094207388, 3808223360]",apartments,POINT (73.34757896021125 55.00227057613128),101 к1,улица Красный Путь,15,377451734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34757896021125,55.00227057613128
6341,"[3809534635, 3809534631, 3809534632, 3809534637, 4594828909, 3809534635]",apartments,POINT (73.30708606468194 54.99624492799068),21,бульвар Кузьмина,18,377575950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.30708606468194,54.99624492799068
6342,"[3809534634, 5300398778, 3809534633, 3809534628, 3809534629, 3809534634]",apartments,POINT (73.30821300769915 54.99611851574461),23,бульвар Кузьмина,18,377575953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.30821300769915,54.996118515744605
6343,"[3809554963, 3809554961, 3809554952, 3809554954, 3809554957, 4613948566, 3809554953, 4613948567, 4613948568, 3809554963]",apartments,POINT (73.2986356588177 54.97637020883688),31,улица Ватутина,10,377577904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2986356588177,54.976370208836876
6344,"[3813628471, 3813628470, 3813628462, 3813628463, 3813628471]",apartments,POINT (73.25928435 55.02292190000001),21 к3,Пригородная улица,,377954876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25928435,55.02292190000001
6345,"[3813628496, 3813628495, 3813628482, 3813628483, 3813628496]",apartments,POINT (73.25928624999999 55.0233914),21 к2,Пригородная улица,,377954878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25928624999999,55.0233914
6346,"[3820163418, 3820163417, 7257710992, 3820163404, 7257710991, 7257710990, 3820163407, 3820163390, 3820163396, 3820163413, 3820163414, 3820163418]",apartments,POINT (73.45967556257538 54.9088645735189),1,улица Архиепископа Сильвестра,9,378602976,2018-02-05,644109,,,Омск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45967556257538,54.908864573518905
6347,"[3820163428, 3820163427, 3820163426, 3820163425, 3820163399, 3820163400, 3820163389, 3820163391, 3820163406, 3820163405, 3820163421, 3820163422, 3820163428]",apartments,POINT (73.46076687989979 54.90915842927369),3,улица Архиепископа Сильвестра,9,378602981,,644109,,,Омск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4607668798998,54.90915842927369
6348,"[3820163363, 4342418834, 4342418833, 4342418832, 3820163362, 3820163358, 3820163359, 3820163363]",apartments,POINT (73.4605991776522 54.90654807092442),45/1,Сибирский проспект,10,378602998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4605991776522,54.90654807092442
6349,"[3820163393, 3820163424, 3820163423, 3820163419, 3820163420, 3820163402, 3820163401, 3820163392, 5199357693, 5199357694, 3820163393]",apartments,POINT (73.46415052330902 54.90906498928271),7,улица Архиепископа Сильвестра,,378603044,,,,,Омск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.46415052330902,54.90906498928271
6350,"[3825906951, 5232253602, 4192900117, 4192900118, 3825906945, 3825906939, 3825906941, 4192900119, 3825906944, 4192900120, 4192900122, 4192900124, 3825906950, 3825906951]",apartments,POINT (73.32960232088637 54.93304791711119),21/1,улица Олега Кошевого,9,379270032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32960232088637,54.93304791711119
